============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  171  8 .9309255E+08   8030000E+01 -.1141E+06 -.1142E+06   .9999987  .0015062 -.0006012
T  172  8 .9292126E+08   8030000E+01  .1862E+06  .3218E+05   .9999968  .0025141 -.0001692
T  173  8 .9281931E+08   8030000E+01  .3070E+05 -.4892E+04   .9999851  .0051608  .0017992
T  174  8 .9262132E+08   8030000E+01 -.2893E+05 -.2524E+05   .9999978 -.0019417  .0007880
T  175  8 .9281738E+08   8030000E+01  .1594E+06  .2393E+06   .9999853  .0043509  .0032460
T  176  8 .9293153E+08   8030000E+01 -.2674E+06  .1385E+06   .9999927 -.0023646  .0029878
T  177  8 .9300819E+08   8030000E+01 -.1042E+06  .3561E+04   .9999951 -.0027335 -.0015580
T  178  8 .9276702E+08   8030000E+01 -.6479E+05 -.2229E+06   .9999837 -.0049811 -.0027867
T  179  8 .9314614E+08   8030000E+01  .1512E+06  .9302E+05   .9999947  .0031123  .0009912
T  180  8 .9292140E+08   8030000E+01  .1940E+06 -.7484E+04   .9999867  .0051055  .0006798
T  181  8 .9268374E+08   8030000E+01  .2860E+06  .1326E+04   .9999795  .0062074 -.0015944
T  182  8 .9309244E+08   8030000E+01 -.3244E+06  .1495E+06   .9999772 -.0060919  .0029145
T  183  8 .9298969E+08   8030000E+01 -.1517E+06 -.8547E+05   .9999976 -.0020447  .0007706
T  184  8 .9258950E+08   8030000E+01  .1125E+06 -.2202E+06   .9999356  .0112184 -.0017013
T  185  8 .9289311E+08   8030000E+01  .1515E+06 -.1158E+06   .9999956  .0028039 -.0010169
T  186  8 .9302385E+08   8030000E+01 -.6394E+05  .4430E+06   .9999903  .0013074  .0042104
T  187  8 .9275081E+08   8030000E+01  .2101E+06  .2674E+05   .9999983  .0016101 -.0009069
T  188  8 .9279713E+08   8030000E+01  .4600E+05  .2103E+06   .9999903 -.0012332  .0042306
T  189  8 .9251670E+08   8030000E+01  .2210E+06 -.1757E+06   .9999887  .0030275 -.0036583
T  190  8 .9354655E+08   8030000E+01  .2451E+05 -.1173E+06   .9999980  .0011434  .0016369
T  191  8 .9290368E+08   8030000E+01 -.3308E+06  .5573E+05   .9999963 -.0017444  .0020892
T  192  8 .9289891E+08   8030000E+01 -.8030E+05 -.8978E+05   .9999991 -.0004522 -.0012977
T  193  8 .9283364E+08   8030000E+01  .2476E+06  .1693E+06   .9999913  .0035254  .0022373
T  194  8 .9267612E+08   8030000E+01  .6624E+05  .1242E+06   .9999910  .0030669  .0029475
T  195  8 .9289614E+08   8030000E+01 -.1061E+06 -.2540E+06   .9999970 -.0016680 -.0017769
T  196  8 .9280814E+08   8030000E+01  .1532E+06 -.3249E+06   .9999829  .0013296 -.0057028
T  197  8 .9299809E+08   8030000E+01 -.2715E+06 -.6272E+05   .9999897 -.0035285 -.0028394
T  198  8 .9274508E+08   8030000E+01  .1072E+06  .3698E+05   .9999993  .0000896  .0011788
T  199  8 .9334973E+08   8030000E+01 -.1323E+06 -.2880E+05   .9999967 -.0025319 -.0005212
T  200  8 .9296645E+08   8030000E+01  .3569E+05  .1955E+06   .9999939  .0028584  .0019876
T  201  8 .9300919E+08   8030000E+01 -.1808E+04 -.1467E+06   .9999992  .0000680 -.0012978
T  202  8 .9289070E+08   8030000E+01 -.9322E+05 -.9022E+05   .9999801 -.0052034  .0035770
T  203  8 .9283201E+08   8030000E+01  .2132E+05 -.1691E+06   .9999978  .0017633 -.0011621
T  204  8 .9340549E+08   8030000E+01  .6875E+05 -.1662E+06   .9999990  .0014226  .0001022
T  205  8 .9285123E+08   8030000E+01 -.1337E+06 -.5501E+06   .9999873 -.0045344  .0022119
T  206  8 .9296203E+08   8030000E+01 -.1614E+06 -.1411E+05   .9999950 -.0026347  .0017606
T  207  8 .9277700E+08   8030000E+01  .3285E+05  .1504E+06   .9999972 -.0004490  .0023241
T  208  8 .9302237E+08   8030000E+01 -.1839E+06  .2150E+06   .9999868 -.0019867  .0047452
T  209  8 .9271526E+08   8030000E+01  .7263E+05  .1319E+06   .9999958  .0012896  .0025891
T  210  8 .9261212E+08   8030000E+01 -.1568E+05 -.1916E+06   .9999996 -.0009337  .0000795
T  211  8 .9283007E+08   8030000E+01  .2385E+06 -.1961E+06   .9999743  .0037401 -.0061165
T  212  8 .9314214E+08   8030000E+01  .2009E+05 -.8948E+05   .9999969 -.0021010  .0013463
T  213  8 .9301378E+08   8030000E+01 -.1014E+05 -.5767E+05   .9999999  .0004259  .0001586
T  214  8 .9273794E+08   8030000E+01 -.1697E+06  .6783E+06   .9999695 -.0013288  .0077012
T  215  8 .9281186E+08   8030000E+01 -.7067E+05  .2590E+06   .9999975 -.0005624  .0021655
T  216  8 .9311445E+08   8030000E+01  .4137E+05  .2928E+05   .9999994  .0009852  .0004768
T  217  8 .9289848E+08   8030000E+01  .2133E+05  .5822E+05   .9999991  .0011762  .0006719
T  218  8 .9291131E+08   8030000E+01  .1208E+06 -.2211E+06   .9999894  .0002194 -.0046037
T  219  8 .9261444E+08   8030000E+01  .1158E+06  .9851E+05   .9999890 -.0009480  .0045881
T  220  8 .9278805E+08   8030000E+01 -.2444E+06  .4427E+06   .9999787 -.0009494  .0064577
T  221  8 .9263426E+08   8030000E+01 -.3372E+06 -.3300E+05   .9999897 -.0045276  .0004215
T  222  8 .9291142E+08   8030000E+01 -.2139E+06  .7320E+05   .9999879 -.0048557  .0007459
T  223  8 .9304833E+08   8030000E+01  .6592E+05  .1052E+06   .9999999 -.0000473 -.0003334
T  224  8 .9293328E+08   8030000E+01 -.1004E+05  .1001E+05   .9999944 -.0022616  .0024841
T  225  8 .9292382E+08   8030000E+01  .2425E+06  .9881E+05   .9999719  .0067097  .0033424
T  226  8 .9265174E+08   8030000E+01  .2099E+04 -.3571E+06   .9999950 -.0004630 -.0031417
